Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
31/8/2010,0,1,0,1,0,0,0,0,1,1,1
1/9/2010,1,0,1,0,1,0,0,0,0,1,1
2/9/2010,1,1,0,1,0,1,0,0,0,0,1
3/9/2010,1,1,1,0,1,0,1,0,0,0,1
7/9/2010,1,1,1,1,0,1,0,1,0,0,0
8/9/2010,0,1,1,1,1,0,1,0,1,0,1
9/9/2010,1,0,1,1,1,1,0,1,0,1,1
10/9/2010,1,1,0,1,1,1,1,0,1,0,1
13/9/2010,1,1,1,0,1,1,1,1,0,1,1
14/9/2010,1,1,1,1,0,1,1,1,1,0,0
15/9/2010,0,1,1,1,1,0,1,1,1,1,1
16/9/2010,1,0,1,1,1,1,0,1,1,1,1
17/9/2010,1,1,0,1,1,1,1,0,1,1,1
20/9/2010,1,1,1,0,1,1,1,1,0,1,1
21/9/2010,1,1,1,1,0,1,1,1,1,0,1
22/9/2010,1,1,1,1,1,0,1,1,1,1,0
23/9/2010,0,1,1,1,1,1,0,1,1,1,0
24/9/2010,0,0,1,1,1,1,1,0,1,1,1
27/9/2010,1,0,0,1,1,1,1,1,0,1,0
28/9/2010,0,1,0,0,1,1,1,1,1,0,1
29/9/2010,1,0,1,0,0,1,1,1,1,1,0
30/9/2010,0,1,0,1,0,0,1,1,1,1,0
1/10/2010,0,0,1,0,1,0,0,1,1,1,1
4/10/2010,1,0,0,1,0,1,0,0,1,1,0
5/10/2010,0,1,0,0,1,0,1,0,0,1,1
6/10/2010,1,0,1,0,0,1,0,1,0,0,1
7/10/2010,1,1,0,1,0,0,1,0,1,0,0
8/10/2010,0,1,1,0,1,0,0,1,0,1,1
11/10/2010,1,0,1,1,0,1,0,0,1,0,1
12/10/2010,1,1,0,1,1,0,1,0,0,1,1
13/10/2010,1,1,1,0,1,1,0,1,0,0,1
14/10/2010,1,1,1,1,0,1,1,0,1,0,0
15/10/2010,0,1,1,1,1,0,1,1,0,1,0
18/10/2010,0,0,1,1,1,1,0,1,1,0,1
19/10/2010,1,0,0,1,1,1,1,0,1,1,0
20/10/2010,0,1,0,0,1,1,1,1,0,1,1
21/10/2010,1,0,1,0,0,1,1,1,1,0,1
22/10/2010,1,1,0,1,0,0,1,1,1,1,0
25/10/2010,0,1,1,0,1,0,0,1,1,1,1
26/10/2010,1,0,1,1,0,1,0,0,1,1,1
27/10/2010,1,1,0,1,1,0,1,0,0,1,0
28/10/2010,0,1,1,0,1,1,0,1,0,0,0
29/10/2010,0,0,1,1,0,1,1,0,1,0,1
1/11/2010,1,0,0,1,1,0,1,1,0,1,1
2/11/2010,1,1,0,0,1,1,0,1,1,0,1
3/11/2010,1,1,1,0,0,1,1,0,1,1,1
4/11/2010,1,1,1,1,0,0,1,1,0,1,1
5/11/2010,1,1,1,1,1,0,0,1,1,0,1
8/11/2010,1,1,1,1,1,1,0,0,1,1,0
9/11/2010,0,1,1,1,1,1,1,0,0,1,0
10/11/2010,0,0,1,1,1,1,1,1,0,0,1
11/11/2010,1,0,0,1,1,1,1,1,1,0,0
12/11/2010,0,1,0,0,1,1,1,1,1,1,0
15/11/2010,0,0,1,0,0,1,1,1,1,1,1
16/11/2010,1,0,0,1,0,0,1,1,1,1,0
17/11/2010,0,1,0,0,1,0,0,1,1,1,0
18/11/2010,0,0,1,0,0,1,0,0,1,1,1
19/11/2010,1,0,0,1,0,0,1,0,0,1,1
22/11/2010,1,1,0,0,1,0,0,1,0,0,0
23/11/2010,0,1,1,0,0,1,0,0,1,0,0
24/11/2010,0,0,1,1,0,0,1,0,0,1,1
26/11/2010,1,0,0,1,1,0,0,1,0,0,0
29/11/2010,0,1,0,0,1,1,0,0,1,0,0
30/11/2010,0,0,1,0,0,1,1,0,0,1,0
1/12/2010,0,0,0,1,0,0,1,1,0,0,1
2/12/2010,1,0,0,0,1,0,0,1,1,0,1
3/12/2010,1,1,0,0,0,1,0,0,1,1,1
6/12/2010,1,1,1,0,0,0,1,0,0,1,0
7/12/2010,0,1,1,1,0,0,0,1,0,0,0
8/12/2010,0,0,1,1,1,0,0,0,1,0,1
9/12/2010,1,0,0,1,1,1,0,0,0,1,0
10/12/2010,0,1,0,0,1,1,1,0,0,0,1
